,,,,,,,,,,,,,,,,,,,LISTING PARTITIONS HMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITRE,AUTEUR,ARRANGEUR,Ref. Classement,Conducteur,Piccolo,Ptte flûte réb,Flûte 1,Flûte 2 ,Hautbois 1 ,Hautbois 2,Basson 1,Basson 2,Petite Clarinette Mib,Clarinette Alto,Clarinette Solo,Clarinette 1 Sib,Clarinette 2 Sib,Clarinette 3 Sib,Clarinette Basse,Sax. Soprano,Sax Alto 1,Sax Alto 2 ,Sax Alto 3 ,Sax Ténor 1 ,Sax Ténor 2,Sax Baryton,Sax Basse,Bugle 1,Bugle 2,Cornet 1,Cornet 2,Cornet 3,Trompette 1,Trompette 2,Trompette 3,Cor fa 1 + Mib,Cor fa 2 + Mib,Cor fa 3 + Mib,Cor fa 4 + Mib,Trombone Ut 1,Trombone Ut 2,Trombone Ut 3,Trombone Ut 4,Trombone Sib 1 clé fa,Trombone Sib2 Clé fa,Trombone Sib3 clé fa,Trombone Sib 4 clé fa,Trombone sib 1 clé sol,TromboneSib2 clé de sol,Trombone Sib 3 clé de sol,Tuba Ut clé de fa,Tuba sib clé de fa,Baryton sib clé de sol,Euphonium Ut clé de fa,Euph 1 Sib clé de fa + sol,Euphonium 2 Sib clé de fa,Basse Sib clé de fa,Basse Sib clé de sol,Contrebasse Sib clé de fa,Contrebasse Sib clé de sol,Contrebasse Mib clé de fa,Contrebasse Mib clé de sol,Contrebasse Ut clé de Fa,Batterie,Percussion 1,Percussion 2,Timbales,Divers,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymne autrichien / allemand,Mozart/Haydn,,A 012,1,0,3,9,0,4,0,0,,2,,4,9,7,6,0,0,10,0,0,3,0,12,,3,4,8,8,0,0,0,0,2,2,0,0,7,5,3,,0,0,0,,0,0,0,6,,2,1,0,0,0,0,0,2,0,0,0,3,4,0,4,,
Hymne Belge / la Brabançonne,,,A 013,1,0,0,3,0,4,0,1,,1,,0,7,3,0,0,0,3,0,0,1,0,1,,3,2,7,1,0,2,0,0,3,1,0,0,2,,1,,0,0,0,,0,0,0,0,,4,0,0,0,5,0,0,0,1,0,0,0,2,0,0,,
Le Lotus Bleu,Francis Poppy,,A 014,1,0,1,3,0,1,0,0,,1,,0,6,2,0,0,1,10,0,0,6,0,3,,6,7,2,3,0,6,3,0,3,3,0,0,2,0,3,,0,0,0,,0,0,0,0,,2,0,0,0,3,0,0,0,3,0,0,0,1,0,0,,
Les Allobroges,,,A 015,0,3,0,2,0,3,0,0,,2,,0,12,4,0,0,5,7,0,0,6,0,3,,2,3,4,4,0,2,1,0,7,1,0,0,2,3,3,,0,0,0,,0,0,0,0,,2+4,0,0,0,10,0,2,0,1,0,1,2+3,0,0,0,,
Marche russe,Louis Ganne,,A 016,0,0,2,1,0,1,0,0,,2,,0,5,2,0,0,2,1,0,0,1,0,3,,1,3,0,0,0,1,4,0,2,3,0,0,2,2,2,,0,0,0,,0,0,0,0,,2+1,5,0,0,0,0,1,0,1,0,0,2,1,0,0,,
Le chant des Partisans ,Marly,,A 017,0,1,0,2,0,2,0,0,,1,,,10,5,0,0,1,10,0,0,2,0,2,,0,0,6,0,0,2,5,0,3,0,0,0,4,0,0,,0,0,0,,0,0,0,0,,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,,
Sinfonia en Flamenco,Castillos,,A 018,0,0,0,3,0,1,0,1,,1,,0,8,4,0,0,0,4,2,0,0,0,2,,1,1,0,0,0,3,2,0,0,0,0,0,1,1,0,,0,0,0,,0,0,0,0,,3,0,0,0,4,0,0,0,1,0,0,1,1,0,0,,
La chanson de Lara,Jarre,,A 019,0,0,0,1,0,1,0,0,,0,,0,5,3,0,0,0,3,0,0,4,0,1,,3,1,4,1,0,0,0,0,1,1,0,0,3,1,0,,0,0,0,,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,,
Fiesta In Dax,Quiles,,A 020,1,1,0,1,0,1,1,0,,0,,3,2,3,4,0,0,0,1,0,1,1,1,,2,1,2,0,0,0,0,0,1,1,1,0,0,0,1,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,,
L'hyme Union Soviétque,,,A 021,1,0,1,1,0,1,0,0,,1,,0,7,4,0,0,1,4,0,0,2,0,1,,1,1,3,3,0,0,0,0,2,2,0,0,1,1,1,,0,0,0,,0,0,0,0,,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,,
Rêve de Valse,O. Straus,,A 022,1,,1,11,0,2,0,0,,2,,,13,14,0,0,4,14,0,0,7,0,5,,4,4,7,5,0,0,0,0,4,3,4,0,0,0,0,,0,4,6,,0,0,0,0,,5,0,0,0,8,0,3,0,0,0,0,4,4,0,0,4 tromb 4 UT,
Donder en Bliksem,J. Strauss,,A 023,1,0,0,1,0,1,0,0,,0,,2,2,1,2,0,0,6,0,0,1,0,1,,1,2,0,1,1,1,0,0,1,1,0,0,1,1,1,,0,0,0,,0,0,0,0,,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,,
le cœur de la France,Popy,,A 024+E050,1,1,0,2,0,2,0,1,,1,,0,6,6,0,0,1,6,0,0,4,0,2,,2,2,4,3,0,0,0,0,2,2,0,0,1,2,2,,0,0,0,,0,0,0,0,,2,0,0,0,5,0,2,0,1,0,2,0,2,0,1,1pt bugle Mib,
Le pays du sourire,F.Lehar,F. Andrieu,A 025,1,0,1,5,0,3,0,3,,3,,2,3,4,0,1,0,2,0,0,4,0,3,,2,2,1,2,0,X,2,0,1,3,0,0,2,1,2,,0,0,0,,0,0,0,0,,3,0,0,0,3+4,0,3,0,1,0,2,0,2,0,2,,
Marche Americaine,JP Sousa,,A 026,1,0,2,5,0,0,0,0,,0,,0,7,10,0,0,1,2,0,0,5,0,1,,2,2,3,3,0,8,0,0,4,1,0,0,5,3,2,,0,0,0,,0,0,0,0,,4,0,0,0,6,0,2,0,0,0,0,0,0,0,0, 2pt bugle Mib,
